ID,Name,Description,Use_In_Nature,Source
1,Metabolic Loss Function,Multi-objective loss function that balances 65 competing objectives simultaneously using logarithmic thermodynamic potentials,"E.coli growth optimization: Balances glucose uptake, ATP production, metabolite concentrations, stress resistance, and 61 other objectives to maximize fitness","BIOMD0000000470: E.coli growth rate equation (3,894 characters, 65 metabolites)"
2,Metabolic Attention Mechanism,"Attention mechanism modulated by 65-objective fitness function, optimizing not just accuracy but energy, sparsity, robustness","E.coli resource allocation: Directs metabolic flux to pathways that maximize overall growth, not just single objectives",BIOMD0000000470: E.coli holistic fitness
3,Metabolic Neural Architecture Search,NAS using E.coli growth formula as fitness - automatically finds Pareto-optimal architectures across 65 metrics,Evolutionary optimization of metabolic networks over 3.5 billion years,BIOMD0000000470: Multi-objective fitness landscape
4,Hill Activation (Adaptive Cooperativity),Activation function with learnable steepness (Hill coefficient n) - sharp or smooth switching based on data,Hemoglobin oxygen binding (n=2.8): Cooperative binding creates ultrasensitive response to oxygen,Formula ID 41: Hill equation v = Vmax*[S]^n / (K^n + [S]^n). Found in 114 formulas across database.
5,Michaelis-Menten Activation,"Saturation-based activation: linear at low inputs, saturates at high inputs - prevents explosive activations",Enzyme kinetics: All enzymes saturate at high substrate concentrations (V_max ceiling),Formula ID 35: v = (Vmax * S) / (Km + S). Most common enzyme kinetics equation.
6,Substrate Inhibition Activation,Too much input REDUCES output - models overconfidence prevention,"Enzyme substrate inhibition: Excess substrate binds non-productively, reducing efficiency",Formula ID 42: Substrate inhibition kinetics. Prevents overactivation.
7,Energy-Aware Neurons (ATP Budgeting),Neurons track ATP pools - can only fire if energy available. Automatic sparsity + metabolic realism.,"Brain energy management: Neurons consume ATP to fire action potentials, ATP depletion prevents firing",Formula IDs 9004-9979: ATP production/consumption formulas from glycolysis and OXPHOS pathways
8,Metabolic Compute Budget,Global compute budget that layers consume and regenerate based on confidence,Cellular ATP pool: Shared energy budget for all cellular processes,ATP production/consumption balance from metabolic pathways
9,Dual-Channel Neurons (Fast + Slow),Neurons with fast electrical signal + slow modulatory channel (like Ca2+). Fast pathway modulated by slow state.,"Calcium signaling: Fast Na+/K+ electrical spikes + slow Ca2+ modulation. Found in 9,633 formulas.","9,633 Ca2+ formulas - universal second messenger system"
10,Multi-Timescale RNN,"RNN with heterogeneous time constants - some neurons fast (τ=0.1), some slow (τ=10)","Neural diversity: Interneurons (fast, τ~5ms) vs pyramidal cells (slow, τ~50ms)",Neural time constants from computational neuroscience models
11,MAPK Amplifying Cascade,3-tier phosphorylation cascade: 1 → 10 → 100 → 1000x amplification,MAPK signaling: Raf → MEK → ERK cascade amplifies growth signals 1000x,MAPK cascade formulas: 10 formulas showing 3-tier amplification
12,Amplifying Attention,Attention mechanism with MAPK-style cascade for rare event detection,Rare signal detection: Single growth factor molecule triggers cascade → 1000 activated proteins,MAPK signaling cascade: 1000x amplification for rare events
13,Allosteric Regulation Layer,Layer with inhibitor and activator signals (like PFK1 enzyme regulated by ATP/AMP),"Phosphofructokinase-1: ATP inhibits (high energy → slow down), AMP activates (low energy → speed up)","Formula ID 202: PFK1 allosteric regulation integrating ATP, AMP, F6P signals"
14,Homeostatic Plasticity Layer,Self-stabilizing layer that adjusts thresholds to maintain target firing rate,BCM rule in neurons: Synaptic threshold slides to maintain stable activity levels,BCM learning rule: Sliding threshold homeostasis
15,Bistable Switch (Toggle Circuit),Two mutually inhibitory units create binary decision with hysteresis - memory without storage,Genetic toggle switch: Two repressor genes create stable ON/OFF states (bistability),"7 bistable switch formulas: Toggle circuits, flip-flops"
16,Kuramoto Synchronization Layer,Features represented as phase oscillators that synchronize if related - binding by synchrony,Neural binding: Brain synchronizes gamma oscillations to bind features into coherent percepts,"Kuramoto model: dθᵢ/dt = ωᵢ + (K/N) Σⱼ sin(θⱼ - θᵢ). Found in 5,124+ oscillatory formulas."
17,FitzHugh-Nagumo Oscillatory Attention,Attention that oscillates with limit cycle - periodic scanning of inputs,"Neural oscillations: Brain rhythms (alpha, beta, gamma) gate information flow",FitzHugh-Nagumo oscillator: 2D excitable system with limit cycles
18,Van der Pol Routing,Oscillatory gating between expert networks - periodic routing,"Relaxation oscillations: Heartbeat, breathing, neural bursting",Van der Pol equation: Self-sustaining oscillator
19,STDP Learning (Spike-Timing Dependent),"Weight updates based on temporal causality: pre-before-post → strengthen, opposite → weaken","Synaptic plasticity: ""Neurons that fire together wire together"" - temporal Hebbian learning","STDP formulas: Δw = A₊ exp(-Δt/τ₊) for Δt>0, found in synaptic plasticity analysis"
20,BCM Learning Rule (Homeostatic),Sliding threshold that adapts to average activity - self-stabilizing unsupervised learning,Visual cortex development: Neurons self-organize to extract features while maintaining stable activity,BCM rule: dw/dt = η φ(post - θ) pre with sliding θ
21,Oja's Rule (Automatic PCA),Unsupervised learning that automatically performs PCA - weight normalization built in,Hebbian learning with weight decay - extracts principal components,Oja's rule: Δw = η y (x - y w) - performs PCA
22,Enzyme Router (MoE with Michaelis-Menten),Routes to experts based on substrate-enzyme affinity (Km values),Enzyme specificity: Different enzyme isoforms have different Km for substrates,Enzyme kinetics with variable Km: Substrate affinity determines routing
23,Adaptive Precision Layer,Dynamically adjusts precision (FP32/FP16/INT8) based on activation magnitude,Substrate inhibition: High substrate reduces enzyme efficiency,Substrate inhibition: v = Vmax*S / (Km + S + S²/Ksi)
24,Metabolic Cascade Network,Complete network organized as Glycolysis → TCA Cycle → OXPHOS pathway,Cellular respiration: 3-stage metabolic pathway (fast glycolysis → iterative TCA → high-yield OXPHOS),Complete metabolic pathway: Glycolysis (6% efficient) + TCA + OXPHOS (38% efficient)
25,PII Protein Multi-Head Attention,Multi-head attention with extreme cooperativity (Hill n=4) and 3-signal allosteric modulation,"PII protein: Master nitrogen sensor in bacteria. Integrates α-ketoglutarate (KG^4 cooperativity), glutamine, and ATP/AMP signals. 8 dissociation constants = 8 binding sites.","BIOMD0000000217: PII protein regulation (2,937 chars, KG^4 cooperativity, 8 Kd constants)"
26,PFK Adaptive Learning Rate Controller,"Learning rate controller integrating loss (ATP), gradients (AMP), and momentum (F-2,6-BP) via allosteric equation","Phosphofructokinase (PFK): Rate-limiting enzyme in glycolysis. ATP inhibits (high energy → slow down), AMP activates (low energy → speed up), F-2,6-BP overrides (emergency). Allosteric L factor with squared cooperativity.","BIOMD0000000247: Phosphofructokinase (2,373 chars, allosteric regulation with L0 factor)"
27,Pyruvate Kinase Gated Residual,Residual connection with feedforward activation from upstream layers (FDP) and feedback inhibition from output (ATP),Pyruvate kinase: Final glycolysis enzyme (PEP + ADP → Pyruvate + ATP). Feedforward activation by FDP (earlier product) with quadratic cooperativity. Feedback inhibition by ATP (product).,"BIOMD0000000063: Pyruvate kinase (1,376 chars, FDP feedforward activation, ATP feedback inhibition)"
28,Protein Aggregation Multi-Path Dropout,Dual dropout pathways: reversible (soluble oligomers) and irreversible (insoluble aggregates) with cooperative nucleation,"Protein misfolding: Monomers aggregate via 2 pathways - soluble (A7-A13, reversible) vs insoluble (A14-A53, irreversible). Nucleation term k_n * M^n creates cooperative threshold.","BIOMD0000000618: Protein aggregation dynamics (982 chars, 47 parallel pathways, M^n nucleation)"
29,GTPase Molecular Switch Layer,Binary switching layer with energy-dependent state transitions (GTP→GDP),Succinyl-CoA synthetase: TCA cycle enzyme using GTP/GDP switching. GTP hydrolysis drives ON→OFF transition. Reversible with energy cost. Keq determines equilibrium balance.,"BIOMD0000000239: Succinyl-CoA synthetase (961 chars, GTP/GDP cycle, TCA cycle)"
30,Chain Length-Dependent Attention,Attention mechanism with different Km (affinity) for different sequence lengths,"Fatty acid β-oxidation: Different Km values for C4, C6, C8, C10, C12, C14, C16 chains. Longer chains have different enzyme kinetics. Sequential breakdown: C16→C14→C12→...→C4.","BIOMD0000000505: Fatty acid β-oxidation (768 chars, 7 chain lengths with different Km)"
31,Multi-Modal Consensus Layer,Requires ALL inputs to be present for activation (product of all modalities),HCMV viral assembly: Requires 31 proteins to bind simultaneously. Rate = k × [protein1] × [protein2] × ... × [protein31]. All-or-nothing assembly.,"R-HSA-9640368: HCMV viral assembly (963 chars, 31 proteins required simultaneously)"
32,Holistic Multi-Objective Loss (40+ params),Loss function integrating 40+ objectives via custom holistic function,Biomass production: function_283() integrates 40+ metabolic reactions. All contribute to overall growth rate. System-level optimization.,"BIOMD0000000496: Biomass production (1,642 chars, function_283 with 40+ parameters)"
33,Environment-Adaptive Multi-Objective Loss,Loss function that adapts objective portfolio based on deployment environment (edge vs cloud vs mobile),Inter-species comparison (BIOMD 469/470/471/472/473): Different bacteria optimize DIFFERENT metabolite sets based on environment. Rich environment (65 metabolites) vs limited (51) vs specialized (49). ZERO overlap - each species evolved unique objective portfolio.,BIOMD 469/470 (65 met) vs 471/472 (51 met) vs 473 (49 met): Zero overlap in metabolite sets
