formula_id,name,description,latex,formula_type,domain,model_origin,use_in_nature,ai_application
1,Hodgkin-Huxley Membrane Equation,Main membrane potential equation from the Hodgkin-Huxley model describing action potential generation,C_m \frac{dV}{dt} = -g_{Na} m^3 h (V - E_{Na}) - g_K n^4 (V - E_K) - g_L (V - E_L) + I_{ext},ODE,electrophysiology,hodgkin-huxley,,
2,HH Sodium Activation (m),Sodium channel activation gating variable dynamics,\frac{dm}{dt} = \alpha_m(V)(1-m) - \beta_m(V)m,ODE,electrophysiology,hodgkin-huxley,,
3,HH Alpha_m Rate,Forward rate constant for sodium activation,\alpha_m(V) = \frac{0.1(V+40)}{1 - \exp(-(V+40)/10)},rate_equation,electrophysiology,hodgkin-huxley,,
4,HH Beta_m Rate,Backward rate constant for sodium activation,\beta_m(V) = 4 \exp(-(V+65)/18),rate_equation,electrophysiology,hodgkin-huxley,,
5,HH Sodium Inactivation (h),Sodium channel inactivation gating variable dynamics,\frac{dh}{dt} = \alpha_h(V)(1-h) - \beta_h(V)h,ODE,electrophysiology,hodgkin-huxley,,
6,HH Potassium Activation (n),Potassium channel activation gating variable dynamics,\frac{dn}{dt} = \alpha_n(V)(1-n) - \beta_n(V)n,ODE,electrophysiology,hodgkin-huxley,,
7,HH Alpha_n Rate,Forward rate constant for potassium activation,\alpha_n(V) = \frac{0.01(V+55)}{1 - \exp(-(V+55)/10)},rate_equation,electrophysiology,hodgkin-huxley,,
8,HH Beta_n Rate,Backward rate constant for potassium activation,\beta_n(V) = 0.125 \exp(-(V+65)/80),rate_equation,electrophysiology,hodgkin-huxley,,
9,Leaky Integrate-and-Fire,Simple neuron model with passive leak current and threshold-based spiking,\tau_m \frac{dV}{dt} = -(V - V_{rest}) + R_m I_{ext},ODE,computational-neuroscience,integrate-and-fire,,
10,Exponential Integrate-and-Fire,LIF with exponential spike initiation for more realistic dynamics,\tau_m \frac{dV}{dt} = -(V - V_{rest}) + \Delta_T \exp\left(\frac{V - V_T}{\Delta_T}\right) + R_m I_{ext},ODE,computational-neuroscience,exponential-integrate-fire,,
11,AdEx Adaptation Current,Adaptation current dynamics in AdEx model,\tau_w \frac{dw}{dt} = a(V - V_{rest}) - w,ODE,computational-neuroscience,adaptive-exponential,,
12,Izhikevich Membrane Equation,Izhikevich model membrane potential dynamics,\frac{dv}{dt} = 0.04v^2 + 5v + 140 - u + I,ODE,computational-neuroscience,izhikevich,,
13,Izhikevich Recovery Variable,Izhikevich model recovery variable dynamics,\frac{du}{dt} = a(bv - u),ODE,computational-neuroscience,izhikevich,,
14,FitzHugh-Nagumo Voltage,FitzHugh-Nagumo model - simplified HH capturing excitability,\frac{dv}{dt} = v - \frac{v^3}{3} - w + I_{ext},ODE,computational-neuroscience,fitzhugh-nagumo,,
15,FitzHugh-Nagumo Recovery,FitzHugh-Nagumo recovery variable,\frac{dw}{dt} = \epsilon(v + a - bw),ODE,computational-neuroscience,fitzhugh-nagumo,,
16,Morris-Lecar Membrane,Morris-Lecar model - 2D reduction of HH for barnacle muscle,C \frac{dV}{dt} = I - g_L(V-V_L) - g_{Ca}m_\infty(V)(V-V_{Ca}) - g_K w(V-V_K),ODE,electrophysiology,morris-lecar,,
17,AMPA Synaptic Current,AMPA receptor-mediated excitatory synaptic current,I_{AMPA} = g_{AMPA} s (V - E_{AMPA}),current_equation,synaptic-transmission,AMPA,,
18,AMPA Gating Dynamics,AMPA receptor gating variable dynamics,\frac{ds}{dt} = \alpha [T](1-s) - \beta s,ODE,synaptic-transmission,AMPA,,
19,NMDA Synaptic Current,NMDA receptor current with voltage-dependent Mg2+ block,I_{NMDA} = g_{NMDA} s B(V) (V - E_{NMDA}),current_equation,synaptic-transmission,NMDA,,
20,NMDA Magnesium Block,Voltage-dependent magnesium block of NMDA receptors,B(V) = \frac{1}{1 + \frac{[Mg^{2+}]}{3.57} \exp(-0.062 V)},algebraic,synaptic-transmission,NMDA,,
21,GABA-A Synaptic Current,GABA-A receptor-mediated inhibitory synaptic current,I_{GABA_A} = g_{GABA_A} s (V - E_{Cl}),current_equation,synaptic-transmission,GABA-A,,
22,GABA-B Synaptic Current,GABA-B receptor current via G-protein activation,I_{GABA_B} = g_{GABA_B} \frac{[G]^n}{[G]^n + K_d} (V - E_K),current_equation,synaptic-transmission,GABA-B,,
23,Alpha Function Synapse,Alpha function for synaptic conductance time course,g(t) = g_{max} \frac{t-t_0}{\tau} \exp\left(1 - \frac{t-t_0}{\tau}\right),algebraic,synaptic-transmission,alpha-function,,
24,Double Exponential Synapse,Bi-exponential synaptic conductance with rise and decay,g(t) = g_{max} \frac{\tau_d \tau_r}{\tau_d - \tau_r} \left( \exp\left(-\frac{t}{\tau_d}\right) - \exp\left(-\frac{t}{\tau_r}\right) \right),algebraic,synaptic-transmission,double-exponential,,
25,Pair-Based STDP,Classic spike-timing dependent plasticity rule,\Delta w = \begin{cases} A_+ \exp(-\Delta t / \tau_+) & \text{if } \Delta t > 0 \\ -A_- \exp(\Delta t / \tau_-) & \text{if } \Delta t < 0 \end{cases},plasticity_rule,synaptic-plasticity,STDP,,
26,Triplet STDP Rule,Triplet STDP capturing frequency dependence,\Delta w = r_1(t) \left( A_2^+ + A_3^+ r_2(t-\epsilon) \right) - o_1(t) \left( A_2^- + A_3^- o_2(t-\epsilon) \right),plasticity_rule,synaptic-plasticity,triplet-STDP,,
27,BCM Plasticity Rule,Bienenstock-Cooper-Munro rule with sliding threshold,\frac{dw}{dt} = \eta \phi(c) c_{pre},ODE,synaptic-plasticity,BCM,,
28,BCM Phi Function,BCM selectivity function,\phi(c) = c(c - \theta_m),algebraic,synaptic-plasticity,BCM,,
29,Oja's Learning Rule,Hebbian rule with weight normalization (PCA),\Delta w_i = \eta y (x_i - y w_i),plasticity_rule,synaptic-plasticity,Oja,,
30,Calcium-Based Plasticity,Plasticity driven by calcium concentration levels,\frac{dw}{dt} = \gamma_p \Omega([Ca^{2+}]) - \gamma_d \Omega([Ca^{2+}]) w,ODE,synaptic-plasticity,calcium-based,,
31,Wilson-Cowan Excitatory,Wilson-Cowan excitatory population rate equation,\tau_E \frac{dE}{dt} = -E + S_E(w_{EE}E - w_{EI}I + I_{ext}),ODE,neural-networks,wilson-cowan,,
32,Wilson-Cowan Inhibitory,Wilson-Cowan inhibitory population rate equation,\tau_I \frac{dI}{dt} = -I + S_I(w_{IE}E - w_{II}I),ODE,neural-networks,wilson-cowan,,
33,Neural Sigmoid Activation,Sigmoidal firing rate function,S(x) = \frac{1}{1 + \exp(-\beta(x - \theta))},activation_function,neural-networks,activation-function,,
34,Mean-Field Firing Rate,Mean-field firing rate for LIF neurons with noise,"\nu = \phi(\mu, \sigma) = \left( \tau_{ref} + \tau_m \sqrt{\pi} \int_{(V_{reset}-\mu)/\sigma}^{(V_{th}-\mu)/\sigma} e^{u^2}(1+\text{erf}(u)) du \right)^{-1}",algebraic,mean-field,mean-field,,
35,Michaelis-Menten Kinetics,Classic enzyme kinetics with substrate saturation,v = \frac{V_{max} [S]}{K_m + [S]},rate_equation,enzyme-kinetics,michaelis-menten,,
36,Michaelis-Menten Substrate Dynamics,Substrate consumption under Michaelis-Menten kinetics,\frac{d[S]}{dt} = -\frac{V_{max} [S]}{K_m + [S]},ODE,enzyme-kinetics,michaelis-menten,,
37,Lineweaver-Burk Equation,Double-reciprocal linearization of Michaelis-Menten,\frac{1}{v} = \frac{K_m}{V_{max}} \cdot \frac{1}{[S]} + \frac{1}{V_{max}},algebraic,enzyme-kinetics,lineweaver-burk,,
38,Competitive Inhibition,Enzyme kinetics with competitive inhibitor,v = \frac{V_{max} [S]}{K_m \left(1 + \frac{[I]}{K_i}\right) + [S]},rate_equation,enzyme-kinetics,competitive-inhibition,,
39,Non-competitive Inhibition,Enzyme kinetics with non-competitive inhibitor,v = \frac{V_{max} [S]}{(K_m + [S])\left(1 + \frac{[I]}{K_i}\right)},rate_equation,enzyme-kinetics,non-competitive-inhibition,,
40,Uncompetitive Inhibition,Enzyme kinetics with uncompetitive inhibitor,v = \frac{V_{max} [S]}{K_m + [S]\left(1 + \frac{[I]}{K_i}\right)},rate_equation,enzyme-kinetics,uncompetitive-inhibition,,
41,Hill Equation,Cooperative binding with Hill coefficient,v = \frac{V_{max} [S]^n}{K_{0.5}^n + [S]^n},rate_equation,enzyme-kinetics,hill,,
42,Substrate Inhibition,Enzyme kinetics with excess substrate inhibition,v = \frac{V_{max} [S]}{K_m + [S] + \frac{[S]^2}{K_{si}}},rate_equation,enzyme-kinetics,substrate-inhibition,,
